p (mbar),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),T (degC)
971.59,74.8,8.34,6.24,2.1,4,6.42,1216.69,0.96,1.88,229.9,4.35
972.63,73.5,8.44,6.2,2.24,3.98,6.38,1217.25,0.67,1.38,225.8,4.52
973.66,73.8,8.11,5.99,2.13,3.83,6.15,1221.13,1.73,2.5,194.1,3.96
974.18,75.7,7.3,5.53,1.77,3.54,5.67,1228.58,1.37,1.88,219.6,2.47
975.08,82.3,6.42,5.28,1.14,3.38,5.42,1237.88,1.07,2.13,207.4,0.68
975.86,90,5.71,5.14,0.57,3.28,5.27,1246.24,0.67,1.25,232.3,-0.92
976.83,92.5,5.22,4.83,0.39,3.08,4.94,1253.2,0.57,1.13,217.4,-2.13
977.43,95.3,4.91,4.68,0.23,2.98,4.78,1257.91,1.27,2.25,177.9,-2.96
977.67,96,4.9,4.71,0.2,3,4.81,1258.27,0.31,0.5,197.5,-2.98
978.25,96.8,4.88,4.73,0.16,3.01,4.83,1259.23,0.4,0.88,213.8,-3.03
978.24,96,4.98,4.78,0.2,3.05,4.89,1257.93,0.28,1,119.7,-2.76
978.37,95.7,4.91,4.7,0.21,2.99,4.8,1259.07,1.1,1.63,187,-2.95
979.76,96.2,5.1,4.91,0.19,3.12,5.01,1258.4,1.05,1.5,203,-2.45
980.2,94.6,5.27,4.99,0.28,3.17,5.09,1256.85,0.58,1.25,231.3,-2
980.57,88.4,5.91,5.23,0.69,3.32,5.33,1250.05,0.74,1.38,193,-0.45
980.47,86,6.36,5.47,0.89,3.48,5.58,1245.22,0.31,0.88,198.8,0.56
980.65,84.5,6.71,5.67,1.04,3.6,5.78,1241.99,0.61,1.25,193.4,1.3
980.93,87.2,6.58,5.74,0.84,3.65,5.85,1243.52,0.31,0.88,119.2,1.03
981.37,89.5,6.25,5.59,0.66,3.55,5.7,1247.4,0.1,0.38,106.8,0.32
982.24,93.8,5.33,5,0.33,3.17,5.09,1258.74,0.86,1.13,195.2,-1.84
982.91,94.9,5.26,4.99,0.27,3.17,5.08,1260.44,0.69,1.13,224.5,-2.02
983.41,96.4,4.76,4.59,0.17,2.91,4.67,1267.53,1.22,2,155.8,-3.36
983.37,97,4.54,4.41,0.14,2.79,4.48,1270.5,0.99,2,169,-3.98
983.28,97.6,4.82,4.71,0.12,2.98,4.79,1266.52,0.44,1.13,156,-3.2
982.51,97.1,4.74,4.61,0.14,2.92,4.69,1266.61,0.73,1.63,198.7,-3.42
982.02,97.1,4.73,4.59,0.14,2.91,4.67,1266.2,0.99,2,142.2,-3.46
981.55,96.9,4.72,4.57,0.15,2.9,4.66,1265.71,1.46,2.25,206.6,-3.49
981.31,94.9,5.05,4.8,0.26,3.05,4.89,1261.01,0.86,2.25,183.1,-2.57
980.29,86.5,6.07,5.25,0.82,3.34,5.35,1248.05,2.77,3.88,181.2,-0.09
978.48,76.6,7.04,5.39,1.65,3.43,5.51,1236.39,5.49,8.5,195.8,1.96
976.67,71.4,7.44,5.31,2.13,3.39,5.44,1230.66,5.34,8.63,176.6,2.74
975.63,70.7,7.27,5.14,2.13,3.28,5.27,1230.86,3.91,4.88,189.8,2.42
974.88,77.7,6.32,4.91,1.41,3.14,5.04,1238.73,2.75,5,180.6,0.48
973.73,84.9,5.63,4.78,0.85,3.06,4.91,1244.6,3.19,5.5,184.5,-1.12
972.96,83.8,5.63,4.72,0.91,3.02,4.85,1243.58,4,5.25,183.8,-1.11
972.37,82.9,5.64,4.67,0.96,3,4.81,1242.78,3.22,4.38,175.1,-1.09
970.97,81.9,5.66,4.64,1.03,2.98,4.78,1240.71,4.31,6,171.6,-1.03
969.35,81.4,5.54,4.51,1.03,2.9,4.65,1240.05,2.1,3.38,162.1,-1.32
967.53,81.8,5.48,4.48,1,2.89,4.63,1238.41,4.04,6,176.1,-1.47
965.18,78.6,5.61,4.41,1.2,2.85,4.57,1234.03,2.94,4.25,167.9,-1.17
962.57,78.9,5.52,4.36,1.17,2.82,4.53,1231.64,2.22,3.63,168.5,-1.37
958.99,74.5,5.9,4.39,1.5,2.85,4.58,1223.04,3.82,7.25,182,-0.48
955.2,66.12,6.26,4.14,2.12,2.7,4.33,1214.67,5.08,7.5,161.1,0.34
952.39,59.09,7.59,4.49,3.11,2.93,4.71,1199.17,8.38,13.25,180.8,3.02
948.3,90.7,6.29,5.7,0.58,3.75,6.01,1204.88,7.84,11.5,170.6,0.39
945.7,85.7,6.91,5.92,0.99,3.9,6.26,1195.76,7.83,11.63,171.2,1.7
944.88,84.8,7.93,6.73,1.21,4.44,7.12,1185.97,6.22,8.88,183,3.64
945.81,78.5,8.97,7.04,1.93,4.64,7.44,1179.53,6.16,9.25,200.5,5.39
947.39,81.7,8.82,7.21,1.61,4.75,7.61,1182.42,5.67,7.88,215.8,5.16
949.8,77.7,8.94,6.94,1.99,4.56,7.31,1184.78,4.33,6.5,213.6,5.34
951.62,70.3,8.3,5.83,2.46,3.82,6.13,1192.14,7.9,10.88,213.7,4.27
953.89,91.3,6.64,6.06,0.58,3.96,6.35,1208.52,4.28,6.38,197.4,1.14
955.35,90.8,7.07,6.42,0.65,4.19,6.72,1206.3,4.74,6.75,210.3,2.03
956.49,84.7,7.34,6.22,1.12,4.06,6.5,1205.53,3.6,8,224.2,2.56
957.61,83.2,7.17,5.96,1.2,3.88,6.23,1208.55,3.75,6.25,228.8,2.22
958.35,77.9,7.1,5.53,1.57,3.6,5.77,1210.33,2.6,4.13,246.4,2.07
959.66,72.4,7.5,5.43,2.07,3.53,5.66,1208.59,2.12,3.63,167.9,2.86
960.92,63.32,8.08,5.12,2.97,3.32,5.33,1205.75,4.88,6.75,214.3,3.91
960.89,58.54,8.55,5.01,3.55,3.25,5.21,1202.3,4.54,6.38,215.3,4.71
961.77,57.15,8.54,4.88,3.66,3.16,5.07,1203.55,2.28,3.63,223.8,4.69
963.25,64.38,7.9,5.08,2.81,3.29,5.28,1210.15,1.04,1.88,244.1,3.57
965.11,65.75,7.68,5.05,2.63,3.26,5.23,1214.19,0.86,1.5,304.1,3.19
966.58,69.99,7.28,5.1,2.18,3.29,5.27,1219.36,2.08,3,252.5,2.43
968.5,81.7,6.41,5.23,1.17,3.37,5.4,1229.64,0.44,0.88,164.9,0.66
970.12,83.4,6.37,5.32,1.06,3.42,5.48,1231.99,0.41,1.13,144.5,0.59
971.52,86.1,6.21,5.35,0.86,3.43,5.51,1235.33,0.53,1.38,152.3,0.24
972.3,87.4,6.38,5.57,0.8,3.57,5.73,1234.63,0.31,0.88,148.6,0.59
973.13,87.7,6.34,5.56,0.78,3.56,5.72,1235.99,0.47,1.38,181.2,0.52
973.65,92.3,6.03,5.56,0.46,3.56,5.71,1239.83,0.68,1.5,213.7,-0.18
974.51,92,5.92,5.44,0.47,3.48,5.59,1242.15,0.77,1.5,161.6,-0.44
975,92.1,5.99,5.52,0.47,3.53,5.66,1241.94,0.84,1.5,185.2,-0.26
975.26,87.1,6.52,5.68,0.84,3.63,5.82,1236.95,0.83,1.5,176.5,0.9
974.67,75,7.9,5.93,1.98,3.79,6.08,1224.06,1.38,2.25,133.6,3.59
973.86,61.59,8.71,5.36,3.35,3.43,5.51,1217.23,2.37,3.25,197.5,4.97
973.65,59.62,9.42,5.61,3.8,3.59,5.77,1211.98,2.15,2.88,190.3,6.09
973.78,69.54,7.6,5.28,2.31,3.38,5.43,1225.7,0.87,1.5,218.5,3.03
974.42,81.8,6.23,5.1,1.13,3.26,5.23,1238.98,0.37,0.63,71.9,0.27
974.86,89.4,5.48,4.9,0.58,3.13,5.02,1247.64,1.2,2,205.8,-1.48
975.23,93.7,5.01,4.7,0.32,3,4.81,1253.76,0.11,0.5,154.2,-2.68
975.21,95.5,4.79,4.58,0.22,2.92,4.69,1256.56,1.28,2,210.9,-3.28
975.05,95.9,4.71,4.51,0.19,2.88,4.63,1257.52,0.09,0.63,176.1,-3.52
975.05,96.6,4.44,4.29,0.15,2.74,4.4,1261.19,0.13,0.5,165.4,-4.28
975.34,96.2,4.29,4.13,0.16,2.64,4.24,1263.75,0.66,1.25,153,-4.73
975.93,96.9,4.01,3.88,0.12,2.48,3.98,1268.91,0.6,1.25,217.3,-5.64
976.46,96.9,3.97,3.85,0.12,2.45,3.94,1270.23,1.62,2.5,349.1,-5.76
976.97,97,4.22,4.1,0.13,2.61,4.19,1266.92,2.57,3.75,357.8,-4.95
977.33,97.4,4.78,4.66,0.12,2.97,4.76,1259.42,1.74,3,10.88,-3.31
976.83,97.2,5.08,4.94,0.14,3.15,5.06,1254.84,1.79,2.75,9.75,-2.5
977.27,97.2,5.06,4.91,0.14,3.13,5.03,1255.72,2.4,3.25,8.94,-2.56
978.11,97,5.06,4.91,0.15,3.13,5.02,1256.78,2.86,3.88,33.81,-2.56
978.58,95.7,5.25,5.02,0.23,3.2,5.13,1255.07,1.63,2.38,33.79,-2.07
979.34,96.2,5.44,5.23,0.21,3.33,5.34,1253.72,2.17,3.5,33.2,-1.59
980.03,96.7,5.55,5.36,0.18,3.41,5.47,1253.28,0.92,1.88,51.37,-1.32
980.73,95.2,5.63,5.36,0.27,3.41,5.47,1253.2,0.63,1.25,42.76,-1.1
981.26,96.3,5.61,5.4,0.21,3.43,5.5,1254.17,1.41,2.25,46.28,-1.17
981.68,97.6,5.55,5.42,0.13,3.44,5.52,1255.31,1.59,2.63,12.34,-1.3
982.29,98,5.59,5.48,0.11,3.47,5.57,1255.66,0.75,1.13,40.1,-1.22
983.11,98.5,5.64,5.56,0.08,3.52,5.65,1256.07,1.78,2.75,36.94,-1.09
984.23,99,5.63,5.58,0.06,3.53,5.67,1257.59,3,4.38,13.06,-1.11
985.23,99.3,5.64,5.6,0.04,3.54,5.68,1258.81,2.53,4,18.25,-1.1
986.31,99.4,5.58,5.55,0.03,3.51,5.63,1260.83,2.72,3.88,36.79,-1.23
986.7,99.5,5.55,5.52,0.03,3.49,5.59,1261.75,3.14,4.63,18.95,-1.31
986.91,99.6,5.53,5.51,0.02,3.48,5.58,1262.19,2.33,3.63,27.04,-1.35
988.16,99.7,5.5,5.48,0.02,3.46,5.55,1264.17,3.29,4.5,17.92,-1.43
989.14,99.7,5.47,5.46,0.02,3.44,5.52,1265.75,2.92,4,18.03,-1.5
989.67,99.8,5.4,5.39,0.01,3.4,5.45,1267.26,2.9,3.88,18.83,-1.67
990.24,99.8,5.37,5.36,0.01,3.37,5.41,1268.37,2.56,3.75,37.47,-1.75
990.65,99.9,5.41,5.41,0.01,3.4,5.46,1268.43,1.07,2.13,26.11,-1.65
990.94,100,5.39,5.39,0,3.39,5.44,1269.01,0,0,0,-1.69
990.85,100,5.39,5.39,0,3.39,5.44,1268.89,0,0,0,-1.69
991.15,100,5.36,5.36,0,3.37,5.41,1269.64,0,0,0,-1.77
991.51,100,5.05,5.05,0,3.18,5.09,1274.04,0,0,0,-2.57
991.71,99.8,4.96,4.95,0.01,3.11,4.99,1275.56,0,0,0,-2.83
992.51,99.6,4.96,4.94,0.02,3.1,4.98,1276.5,0,0,0,-2.81
992.92,99.2,4.91,4.87,0.04,3.05,4.9,1277.79,0,0,0,-2.96
992.95,97.6,5.03,4.91,0.12,3.08,4.94,1276.29,0,0,0,-2.64
992.57,92.5,5.13,4.74,0.38,2.98,4.78,1274.64,0,0,0,-2.38
992.79,92.2,5.1,4.71,0.4,2.95,4.74,1275.2,0,0,0,-2.44
993.82,91.8,5.11,4.69,0.42,2.94,4.72,1276.51,0,0,0,-2.43
994.41,90.3,5.13,4.63,0.5,2.9,4.66,1277.05,0,0,0,-2.38
994.43,92.4,4.99,4.61,0.38,2.89,4.64,1278.74,0,0,0,-2.73
994.81,93.9,4.86,4.56,0.3,2.86,4.59,1280.99,0,0,0,-3.1
995.12,89.8,4.96,4.45,0.51,2.79,4.47,1280.19,0,0,0,-2.83
995.32,89.5,5.02,4.49,0.53,2.81,4.51,1279.64,0,0,0,-2.67
995.39,85.7,5.11,4.38,0.73,2.74,4.4,1278.6,0,0,0,-2.41
995.17,92.7,4.91,4.55,0.36,2.85,4.58,1280.76,0,0,0,-2.95
995.7,94.7,4.83,4.57,0.26,2.86,4.59,1282.58,0,0,0,-3.19
996.14,94.6,4.81,4.55,0.26,2.85,4.57,1283.36,2.77,3.5,16.52,-3.23
996.66,91.8,4.95,4.55,0.41,2.84,4.56,1282.15,2.83,4.38,50.18,-2.83
997.21,87.6,5.2,4.56,0.65,2.85,4.57,1279.76,1.91,3,75.9,-2.18
996.95,86.3,5.3,4.57,0.73,2.86,4.59,1278.24,2.1,3.75,81.9,-1.93
996.99,85.7,5.34,4.58,0.76,2.86,4.59,1277.74,2.63,4.13,51.97,-1.82
997.27,86.1,5.34,4.6,0.74,2.87,4.61,1278.17,2.33,4.88,58.27,-1.83
998.03,86.9,5.29,4.6,0.69,2.87,4.61,1279.73,1.57,3.25,91.4,-1.96
998.23,87.7,5.27,4.62,0.65,2.88,4.63,1280.21,1.55,2.75,72.6,-2.01
998.47,87.1,5.23,4.55,0.67,2.84,4.56,1281.09,1.89,3.63,76.9,-2.12
998.79,83.2,5.28,4.39,0.89,2.74,4.39,1280.98,2.06,3.63,80,-1.99
998.93,81.2,5.31,4.31,1,2.69,4.31,1280.81,1.55,3,73.8,-1.91
998.98,79.9,5.28,4.22,1.06,2.63,4.22,1281.22,1.68,3.25,99.1,-1.97
998.83,79.5,5.2,4.13,1.07,2.58,4.14,1282.11,2.07,3.75,100.2,-2.19
998.63,80.8,5.11,4.13,0.98,2.57,4.13,1282.98,1.58,2.75,84.3,-2.43
999.18,81.1,5.06,4.1,0.96,2.56,4.1,1284.32,1.67,3.38,51.97,-2.56
999.74,81.2,4.88,3.96,0.92,2.47,3.97,1287.34,1.98,3.38,49.3,-3.03
999.79,79.7,4.92,3.92,1,2.44,3.92,1286.96,2.2,4.5,65.07,-2.93
999.82,78.2,5.01,3.92,1.09,2.44,3.92,1285.81,2.21,4,53.57,-2.68
998.83,78.4,5.14,4.03,1.11,2.51,4.03,1282.87,1.83,3.5,53.95,-2.34
998.51,80.4,5.11,4.11,1,2.56,4.11,1282.79,2.32,3.75,58.22,-2.42
998.71,75.9,5.23,3.97,1.26,2.47,3.97,1281.69,1.91,3.75,81.5,-2.12
998.71,76.9,5.31,4.09,1.23,2.55,4.09,1280.57,1.93,3.38,81.3,-1.9
998.38,85.9,5.11,4.39,0.72,2.74,4.39,1282.53,3.33,3.88,31.58,-2.43
998.04,88.1,5.11,4.5,0.61,2.81,4.51,1282.04,1.54,2.5,38.22,-2.43
997.42,88.9,5.09,4.52,0.56,2.82,4.53,1281.48,2.11,2.63,29.18,-2.48
996.87,91.3,5.08,4.64,0.44,2.9,4.65,1280.78,1.97,2.63,34.42,-2.5
996.55,92.3,5.13,4.73,0.39,2.96,4.75,1279.72,1.62,3.38,56.74,-2.37
996.17,92.9,5.16,4.79,0.37,3,4.81,1278.8,1.24,2.38,55.65,-2.29
995.88,92.9,5.21,4.84,0.37,3.03,4.86,1277.78,1.29,2.38,53.51,-2.15
995.77,92.3,5.27,4.86,0.41,3.04,4.88,1276.96,1.97,3.88,57.11,-2.01
995.38,90.1,5.37,4.83,0.53,3.03,4.86,1275.31,1.94,3.25,43.07,-1.76
995.14,91.4,5.46,4.99,0.47,3.13,5.02,1273.79,3.6,4.75,31.05,-1.52
994.09,88.9,5.7,5.07,0.63,3.18,5.1,1269.66,2.56,4.38,51.52,-0.93
993.37,86.8,5.6,4.86,0.74,3.05,4.89,1270.04,5.26,7,33.7,-1.19
993.42,74.8,5.47,4.09,1.38,2.56,4.12,1271.96,3.48,5.75,54.93,-1.51
993.01,76.9,5.31,4.09,1.23,2.56,4.11,1273.25,3.31,4.63,35.3,-1.9
992.07,85.4,5.14,4.39,0.75,2.75,4.42,1274.03,2.44,3.88,31.97,-2.35
991.08,91.7,5.08,4.66,0.42,2.93,4.7,1273.27,2.95,3.88,22.41,-2.49
990.18,87.4,4.98,4.35,0.63,2.74,4.39,1273.6,4.23,7.13,33.09,-2.77
989.11,85.3,4.82,4.11,0.71,2.59,4.16,1274.35,5.29,6.88,32.19,-3.2
988.19,81.5,4.71,3.84,0.87,2.42,3.88,1274.77,2.84,4.25,23.99,-3.51
987.14,82.3,4.64,3.82,0.82,2.41,3.87,1274.29,2.38,4.25,52.18,-3.7
986.39,90.5,4.48,4.05,0.43,2.56,4.11,1275.54,2.85,3.75,33.81,-4.19
986.45,89.7,4.48,4.02,0.46,2.54,4.07,1275.58,1.42,3.25,88.6,-4.18
986.55,86.9,4.44,3.86,0.58,2.43,3.91,1276.38,2.75,4.25,42.76,-4.3
986.58,83.9,4.71,3.96,0.76,2.5,4.01,1272.57,4.82,8.5,45.41,-3.5
985.97,82.7,4.84,4.01,0.84,2.53,4.06,1270.07,5.22,7.88,44.57,-3.14
984.87,78.7,4.95,3.9,1.06,2.47,3.96,1267.28,5,7.88,45.39,-2.84
984.43,76.5,4.99,3.82,1.17,2.42,3.88,1266.24,5.91,9.38,42.87,-2.73
984.51,80.2,4.82,3.86,0.95,2.44,3.92,1268.58,5.74,7.88,46.14,-3.21
983.92,80.4,4.78,3.84,0.94,2.43,3.91,1268.32,6.15,8.88,46.45,-3.31
983.43,83.9,4.93,4.14,0.79,2.62,4.21,1265.6,3.93,7,52.9,-2.9
982.93,86.7,5.02,4.35,0.67,2.76,4.43,1263.72,3.81,6.38,47.35,-2.66
982.79,86,5.13,4.41,0.72,2.8,4.49,1262.16,2.74,4.63,42.94,-2.37
982.11,81.6,5.13,4.19,0.94,2.66,4.26,1261.38,3.58,4.63,31.39,-2.36
981.88,80.9,4.9,3.97,0.94,2.52,4.04,1264.02,1.22,2,52.29,-2.97
981.79,82.1,4.73,3.89,0.85,2.47,3.96,1266.17,0.45,1.13,165.3,-3.45
981.63,86.1,4.38,3.77,0.61,2.39,3.84,1270.89,0.51,1.25,9.41,-4.48
982.37,88.6,4.54,4.02,0.52,2.55,4.09,1269.52,0.27,0.63,194.2,-4.01
982.01,74.9,5.56,4.17,1.4,2.64,4.24,1256.19,0.58,1.13,155.3,-1.27
980.78,73.4,6.3,4.63,1.68,2.94,4.72,1246.59,0.96,1.5,174.2,0.43
979.55,69.4,7.36,5.11,2.25,3.25,5.21,1235.06,0.75,1.5,177.7,2.59
978.27,69.65,7.96,5.54,2.42,3.53,5.67,1228.35,3.98,5.88,96,3.68
977.34,76.2,7.16,5.46,1.7,3.48,5.58,1233.82,2.61,4.75,61.7,2.2
977.57,81.8,6.67,5.45,1.21,3.48,5.58,1238.6,0.8,1.88,43.61,1.21
977.31,86.8,6.22,5.4,0.82,3.44,5.52,1242.66,2.38,3,342.2,0.24
976.96,88.1,6.03,5.31,0.72,3.39,5.44,1244.14,0.3,0.88,143.4,-0.17
976.36,91.4,5.81,5.31,0.5,3.39,5.44,1245.67,0.48,1.5,20.17,-0.68
975.86,94.3,5.27,4.97,0.3,3.17,5.09,1251.32,1.05,1.63,33.71,-2.01
975.08,95.7,5.09,4.87,0.22,3.11,4.99,1252.54,0.26,0.88,234.9,-2.48
974.72,96.1,4.93,4.74,0.19,3.03,4.86,1254.07,0.2,0.63,217.4,-2.9
974.49,95.6,4.72,4.51,0.21,2.88,4.63,1256.67,0.29,0.63,189.3,-3.5
974.66,95.5,4.79,4.58,0.22,2.93,4.7,1255.85,0.26,0.63,198.2,-3.28
974.28,90.8,5.55,5.04,0.51,3.22,5.17,1246.08,0.22,0.63,67.08,-1.32
974.26,85.4,6.32,5.4,0.92,3.46,5.54,1237.7,0.78,1.13,50.06,0.48
973.78,78.9,7.62,6.01,1.61,3.85,6.17,1225.19,0.44,0.88,128.2,3.07
972.85,65.88,10.02,6.6,3.42,4.23,6.78,1206.64,0.5,1,108.4,6.99
972.54,66.9,9.63,6.44,3.19,4.13,6.63,1208.79,0.44,1.13,102.3,6.42
972.5,81.7,7.4,6.04,1.35,3.87,6.21,1225.42,0.68,1,46.95,2.65
972.78,89.7,6.28,5.64,0.65,3.61,5.8,1236.09,1.67,2.5,243.3,0.39
972.71,93.6,5.58,5.22,0.36,3.35,5.37,1243.61,0.57,1.13,231.8,-1.24
972.77,96,5.22,5.01,0.21,3.21,5.15,1247.9,0.77,1.13,217,-2.13
972.38,97.1,5.05,4.91,0.15,3.15,5.05,1249.46,0.26,0.75,169.8,-2.57
972.37,97.6,4.65,4.54,0.11,2.91,4.67,1254.72,0.25,0.63,331.9,-3.67
972.35,97.9,4.48,4.39,0.09,2.81,4.51,1257.13,0.68,1.25,216.5,-4.17
971.98,98.1,4.36,4.27,0.08,2.74,4.4,1258.44,0.49,1.25,186.4,-4.55
972.1,98,4.24,4.16,0.08,2.66,4.28,1260.28,1.48,2.38,184.8,-4.89
972.53,97.8,4.27,4.18,0.09,2.68,4.3,1260.38,0.68,1.13,220.2,-4.8
972.45,96.5,5.34,5.16,0.19,3.3,5.3,1245.98,0.54,1,123.7,-1.82
972.07,85.8,6.86,5.89,0.97,3.78,6.06,1229.58,0.7,1.38,125.1,1.61
971.37,74.2,8.32,6.18,2.15,3.96,6.36,1216.55,1.63,2.38,35.73,4.32
971.01,76.8,8.27,6.35,1.92,4.08,6.54,1216.39,1.86,2.25,8.5,4.24
971.65,85.8,7.05,6.05,1,3.88,6.23,1227.31,0.68,1.63,184.7,1.99
971.93,90.3,6.2,5.6,0.6,3.59,5.76,1235.83,0.34,0.75,32.93,0.22
972.18,92.5,5.98,5.53,0.45,3.55,5.69,1238.43,0.52,0.75,193.2,-0.28
972.54,95.1,6.05,5.75,0.3,3.69,5.91,1238.12,2.11,2.88,203.6,-0.14
972.48,95.8,6.47,6.19,0.27,3.97,6.37,1233.68,1.32,2,188.5,0.78
972.42,96.8,5.95,5.76,0.19,3.69,5.92,1239.03,2.02,2.63,195.2,-0.37
972.75,97.5,6.14,5.99,0.15,3.84,6.15,1237.35,1.96,3.38,192,0.07
972.65,98.1,5.66,5.55,0.11,3.56,5.71,1242.49,2.2,3.5,161.7,-1.04
972.42,98.6,5.49,5.42,0.08,3.47,5.57,1244.11,1.98,3,203.3,-1.45
972.41,97.6,5.83,5.69,0.14,3.65,5.85,1240.27,2.07,3.63,182.9,-0.64
972.59,90.1,6.45,5.81,0.64,3.72,5.97,1234.2,1.96,3.25,161.4,0.74
972.29,81.7,7.91,6.46,1.45,4.14,6.65,1220.78,1.59,2.75,177.2,3.6
971.33,73.3,9,6.6,2.4,4.24,6.79,1211.43,1.46,2.38,169.3,5.44
971.08,70.2,9.58,6.73,2.86,4.32,6.93,1207.14,1.74,2.38,188.6,6.34
971.55,77.4,8.58,6.64,1.94,4.26,6.83,1214.68,1.65,2.63,197.5,4.75
971.5,70.1,8.41,5.9,2.52,3.78,6.07,1216.19,2.89,3.5,192.7,4.47
971.38,76.5,7.54,5.77,1.77,3.7,5.94,1222.94,2.56,3.13,180.3,2.92
971.58,84.1,6.57,5.52,1.04,3.54,5.68,1231.9,1.88,3,191.5,1
971.47,88,6.35,5.59,0.76,3.58,5.75,1233.84,2.57,4.13,175.5,0.53
971.09,88.5,6.35,5.62,0.73,3.61,5.78,1233.34,1.56,2.5,215.2,0.53
970.93,93.5,5.63,5.27,0.37,3.38,5.43,1240.69,1.47,2.75,186.1,-1.1
970.41,92.3,5.82,5.37,0.45,3.45,5.54,1237.95,2.66,3.75,202.6,-0.66
970.33,90.7,5.92,5.37,0.55,3.45,5.53,1236.85,1.56,3.38,195.8,-0.44
970.22,91.4,5.88,5.37,0.51,3.45,5.54,1237.1,0.65,1.75,208.9,-0.52
969.23,89.3,6.5,5.8,0.7,3.73,5.98,1229.45,0.89,1.63,198.1,0.85
969.5,87.2,6.89,6,0.88,3.86,6.19,1226.08,1.39,2.75,167.7,1.65
968.71,73.1,9.21,6.74,2.48,4.34,6.95,1206.64,1.05,2.38,176.9,5.78
967.33,60.85,11.52,7.01,4.51,4.52,7.24,1190.89,1.08,1.88,19.17,9.03
966.49,66.23,10.46,6.93,3.53,4.47,7.17,1195.86,2.32,3.38,348.9,7.62
966.51,72.1,9.44,6.81,2.63,4.39,7.04,1202.36,0.62,1.75,56.48,6.12
965.93,76.2,8.28,6.31,1.97,4.07,6.53,1210,0.75,1.63,175.7,4.25
965.36,84.8,7.11,6.03,1.08,3.89,6.24,1218.86,1.22,2.75,31.99,2.1
964.74,84.4,6.65,5.62,1.04,3.63,5.82,1222.35,0.88,1.25,185.7,1.18
963.59,84.5,6.37,5.38,0.99,3.48,5.59,1223.67,0.37,0.88,185.1,0.58
962.96,84.9,6.12,5.2,0.92,3.36,5.4,1225.42,0.85,2.13,171,0.03
961.97,90.6,5.61,5.08,0.53,3.29,5.28,1229.6,0.4,0.88,51.16,-1.17
961.86,93.6,5.26,4.93,0.34,3.19,5.12,1233.41,0.75,1.88,186.2,-2.02
961.33,95.1,5.31,5.05,0.26,3.28,5.26,1232.09,0.58,1,172.9,-1.89
961,93.6,5.46,5.11,0.35,3.32,5.32,1229.96,1.1,1.75,183.3,-1.52
960.89,90.4,5.95,5.38,0.57,3.49,5.6,1224.46,0.65,1.25,187.1,-0.36
960.63,79.5,7.38,5.87,1.51,3.81,6.11,1210.62,0.64,1.63,358.1,2.63
959.95,70.5,8.94,6.31,2.64,4.1,6.57,1197.73,0.87,1.63,90.3,5.35
960.32,77.4,8.31,6.43,1.88,4.18,6.7,1202.66,1.83,3.25,307.4,4.3
961.06,83.8,7.87,6.59,1.27,4.28,6.86,1206.88,0.8,1.38,30.23,3.53
961.68,85,7.55,6.42,1.13,4.16,6.68,1210.28,2.26,2.75,244,2.95
963.13,89,7.76,6.9,0.85,4.47,7.17,1210.23,1.88,3.88,264.8,3.32
964.22,89.5,7.39,6.61,0.78,4.28,6.86,1214.73,3.26,5.63,260.7,2.64
965.48,88.1,7.27,6.41,0.87,4.14,6.63,1217.42,2.9,4.5,256.6,2.42
966.4,91.5,7.04,6.44,0.6,4.16,6.67,1220.56,2.57,4.25,254.6,1.97
967.15,90.1,6.87,6.19,0.68,3.99,6.4,1223.13,2.38,4.63,254.1,1.63
968.42,90.3,6.71,6.06,0.65,3.9,6.26,1226.28,1.63,4.5,268,1.3
970.12,90,6.5,5.85,0.65,3.76,6.03,1230.56,2.32,4.75,277.5,0.85
971.92,74.3,6.15,4.57,1.58,2.93,4.7,1236.85,1.32,3.13,349.6,0.1
973.04,70.8,6.49,4.59,1.89,2.94,4.72,1234.95,2.05,3.88,259.1,0.83
974.17,63.99,6.93,4.44,2.5,2.84,4.55,1232.33,3.25,8,272.6,1.75
975.14,67,7.04,4.72,2.32,3.01,4.84,1232.45,2.26,4.13,276.8,1.97
975.67,56.9,7.72,4.39,3.33,2.8,4.5,1227.55,3.06,6.88,262.8,3.25
976.48,62.09,7.08,4.4,2.69,2.81,4.5,1233.92,2.35,4.25,279.7,2.05
977.66,66.52,6.55,4.36,2.19,2.78,4.46,1240.31,0.76,1.25,180.2,0.97
978.57,68.7,6.33,4.35,1.98,2.77,4.44,1243.66,0.78,1.63,236.4,0.49
979.43,71.8,5.88,4.22,1.66,2.68,4.31,1249.45,0.82,1.5,173,-0.53
980.13,75.4,5.54,4.18,1.36,2.65,4.26,1254.08,0.9,1.63,180.9,-1.34
980.64,81.1,5.02,4.07,0.95,2.59,4.15,1260.92,1.14,2.25,153,-2.66
980.93,83.8,5.08,4.26,0.82,2.7,4.34,1260.49,1.5,2.5,218.5,-2.51
980.95,84.1,5.01,4.21,0.8,2.67,4.29,1261.44,0.91,1.75,185.9,-2.7
981.03,83.4,5.21,4.34,0.86,2.76,4.43,1258.98,0.75,2,144.1,-2.16
981.26,79.3,5.78,4.58,1.2,2.91,4.67,1252.64,3.24,4,200.2,-0.75
